Element(s);Structure;Property;Value;Temp;Reference
Hf,Al;l12;B;109.76000;0;file=L12/Al3Hf/Al3Hf-L1_2.dat date=2013-02-19
Hf,Al;l12;Eheat;-0.40110;0;file=L12/Al3Hf/Al3Hf-L1_2.dat date=2013-02-19
Ir,Al;l12;a;3.84992;0;file=L12/Al3Ir/Al3Ir-L1_2.dat date=2013-02-19
Ir,Al;l12;B;165.08000;0;file=L12/Al3Ir/Al3Ir-L1_2.dat date=2013-02-19
Ir,Al;l12;Eheat;-0.49391;0;file=L12/Al3Ir/Al3Ir-L1_2.dat date=2013-02-19
La,Al;l12;a;4.41631;0;file=L12/Al3La/Al3La-L1_2.dat date=2013-02-19
La,Al;l12;B;66.44000;0;file=L12/Al3La/Al3La-L1_2.dat date=2013-02-19
La,Al;l12;Eheat;-0.32968;0;file=L12/Al3La/Al3La-L1_2.dat date=2013-02-19
Mg,Al;l12;a;4.12008;0;file=L12/Al3Mg/Al3Mg-L1_2.dat date=2013-02-18
Mg,Al;l12;B;69.72000;0;file=L12/Al3Mg/Al3Mg-L1_2.dat date=2013-02-18
Mg,Al;l12;Eheat;-0.01854;0;file=L12/Al3Mg/Al3Mg-L1_2.dat date=2013-02-18
Ni,Al;l12;a;3.81367;0;file=L12/Al3Ni/Al3Ni-L1_2.dat date=2013-02-19
Ni,Al;l12;B;121.56000;0;file=L12/Al3Ni/Al3Ni-L1_2.dat date=2013-02-19
Ni,Al;l12;Eheat;-0.26249;0;file=L12/Al3Ni/Al3Ni-L1_2.dat date=2013-02-19
Pb,Al;l12;a;4.34520;0;file=L12/Al3Pb/Al3Pb-L1_2.dat date=2013-02-19
Pb,Al;l12;B;58.88000;0;file=L12/Al3Pb/Al3Pb-L1_2.dat date=2013-02-19
Pb,Al;l12;Eheat;0.23437;0;file=L12/Al3Pb/Al3Pb-L1_2.dat date=2013-02-19
Pd,Al;l12;a;3.92559;0;file=L12/Al3Pd/Al3Pd-L1_2.dat date=2013-02-19
Pd,Al;l12;B;122.00000;0;file=L12/Al3Pd/Al3Pd-L1_2.dat date=2013-02-19
Pd,Al;l12;Eheat;-0.38422;0;file=L12/Al3Pd/Al3Pd-L1_2.dat date=2013-02-19
Pt,Al;l12;a;3.90828;0;file=L12/Al3Pt/Al3Pt-L1_2.dat date=2013-02-19
Pt,Al;l12;B;136.68000;0;file=L12/Al3Pt/Al3Pt-L1_2.dat date=2013-02-19
Pt,Al;l12;Eheat;-0.48902;0;file=L12/Al3Pt/Al3Pt-L1_2.dat date=2013-02-19
Rh,Al;l12;a;3.85099;0;file=L12/Al3Rh/Al3Rh-L1_2.dat date=2013-02-19
Rh,Al;l12;B;147.66000;0;file=L12/Al3Rh/Al3Rh-L1_2.dat date=2013-02-19
Rh,Al;l12;Eheat;-0.51083;0;file=L12/Al3Rh/Al3Rh-L1_2.dat date=2013-02-19
Ru,Al;l12;a;3.84016;0;file=L12/Al3Ru/Al3Ru-L1_2.dat date=2013-02-19
Ru,Al;l12;B;155.06000;0;file=L12/Al3Ru/Al3Ru-L1_2.dat date=2013-02-19
Ru,Al;l12;Eheat;-0.36312;0;file=L12/Al3Ru/Al3Ru-L1_2.dat date=2013-02-19
Sc,Al;l12;a;4.07560;0;file=L12/Al3Sc/Al3Sc-L1_2.dat date=2013-02-19
Sc,Al;l12;B;92.25000;0;file=L12/Al3Sc/Al3Sc-L1_2.dat date=2013-02-19
